address,city,neighbourhood,bed,bath,type,style,walk_score,lot_size,age,size,listed_price,estimated_mortgage,property_tax,last_sold_price,last_sold_year
1205 - 2181 Yonge Street,Toronto,Mount Pleasant West,2,2,Condo Apt,Apartment,91,No Data,Restrict,1000-1199 sqft,999000.0,5461.0,2487,949000.0,2022
1205 - 2181 Yonge Street,Toronto,Mount Pleasant West,2,2,Condo Apt,Apartment,91,No Data,Restrict,1000-1199 sqft,999000.0,5461.0,2487,949000.0,2022
1711 - 218 Queens Quay W,Toronto,Waterfront Communities C1,2,2,Condo Apt,Apartment,91,No Data,Restrict,800-899 sqft,899000.0,4885.0,3103,949000.0,2022
240 Park Lawn Road,Toronto,Stonegate-queensway,3+2,4,Detached,2-Storey,58,2733.4327000000003,0-5 years,1500-2000 sqft,1599000.0,8645.0,5403,949000.0,2022
605 Indian Road,Toronto,High Park North,5+1,3,Detached,2 1/2 Storey,79,2384.6400000000003,No Data,No Data,1689000.0,9147.0,6477,499900.0,2005
8 Allan Park Road,Toronto,Stonegate-queensway,3,2,Detached,Bungalow,49,9741.550000000001,No Data,No Data,1899000.0,10319.0,6414,499900.0,2005
23 Harvie Avenue,Toronto,Corso Italia-davenport,3,3,Detached,2-Storey,89,2238.72,51-99 years,1100-1500 sqft,1380000.0,7423.0,3831,1480000.0,2022
8 Norway Avenue,Toronto,The Beaches,2,2,SEMI-DETACHED,2-Storey,71,1342.0,No Data,No Data,1288000.0,6909.0,4661,559900.0,2014
58 Highfield Road,Toronto,Greenwood-coxwell,3,1,SEMI-DETACHED,2-Storey,80,1794.0000000000002,51-99 years,1100-1500 sqft,999000.0,5461.0,4449,265000.0,2004
29 Delavan Avenue,Toronto,Forest Hill South,5+1,7,Detached,3-Storey,69,7123.3548,No Data,No Data,7500000.0,41579.0,28374,1995000.0,2015
8 Frankish Avenue,Toronto,Little Portugal,4,2,Att/Row/Twnhouse,2-Storey,90,1092.0,No Data,No Data,1100000.0,5860.0,4221,1995000.0,2015
54 Fairmeadow Avenue,Toronto,St. Andrew-windfields,5+2,8,Detached,2-Storey,21,7500.0,No Data,No Data,5580000.0,30863.0,14493,5850000.0,2022
38 Salonica Road,Toronto,Bridle Path-sunnybrook-york Mills,5+3,11,Detached,2-Storey,22,19680.6876,New,No Data,12800000.0,71158.0,16928,6300000.0,2020
2430 Bayview Avenue,Toronto,Bridle Path-sunnybrook-york Mills,3+1,3,Detached,Bungalow,36,8554.679999999998,No Data,No Data,2980000.0,16352.0,10104,3365000.0,2019
C37 - 288 Mill Road,Toronto,Markland Wood,2,2,Condo Apt,Multi-Level,36,No Data,Restrict,1000-1199 sqft,729000.0,3907.0,2351,346000.0,2011
1718E - 36 Lisgar Street,Toronto,Little Portugal,2,2,Condo Apt,Apartment,36,6-10 years,Restrict,500-599 sqft,649000.0,3447.0,1908,359900.0,2016
2104 - 83 Redpath Avenue,Toronto,Mount Pleasant West,2+1,2,Condo Apt,Apartment,36,6-10 years,Restrict,1000-1199 sqft,1099000.0,5855.0,4205,1388000.0,2022
603 - 20 Avoca Avenue,Toronto,Rosedale-moore Park,2,2,Co-Op Apt,Apartment,36,No Data,N,1000-1199 sqft,1050000.0,5581.0,4205,1080000.0,2022
601 - 5500 Yonge Street,Toronto,Willowdale West,1,1,Condo Apt,Apartment,36,No Data,Restrict,500-599 sqft,620000.0,3280.0,1871,289000.0,2013
25 Arcadian Circle,Toronto,Long Branch,3,2,Detached,1 1/2 Storey,73,7550.0,51-99 years,1100-1500 sqft,1499900.0,8092.0,4682,289000.0,2013
1259 Davenport Road,Toronto,Dovercourt-wallace Emerson-junction,5+1,2,Att/Row/Twnhouse,3-Storey,71,1104.18,100+ years,No Data,1459000.0,7864.0,4682,849000.0,2017
84 Aylesworth Avenue,Toronto,Birchcliffe-cliffside,4,5,Detached,2-Storey,42,2356.0,0-5 years,No Data,1399000.0,7529.0,5264,998000.0,2019
270 Montrose Avenue,Toronto,Palmerston-little Italy,3,2,SEMI-DETACHED,2-Storey,60,1264.4675,100+ years,No Data,1099000.0,5855.0,4760,998000.0,2019
105 Montgomery Avenue,Toronto,Yonge-eglinton,2,1,SEMI-DETACHED,2-Storey,95,1288.9499999999998,100+ years,700-1100 sqft,1250000.0,6697.0,3899,449000.0,2010
